Name,Fouls,Corners,Offsides,Passes,Penalties,Possession,Red Card,Shots - Blocked,Shots - Inside Box,Shots - Off target,Shots - On target,Shots - Outside Box,Shots - Total,Tackles,Yellow Card,Passes 
real-madrid,9.966666666666667,5.966666666666667,2.2666666666666666,578.5333333333333,0.1,57.6,0.03333333333333333,2.9,9.8,10.433333333333334,5.4,6.0,15.833333333333334,14.766666666666667,1.7333333333333334,
real-sociedad,13.8,4.36,1.8,457.24,0.28,54.56,0.04,2.04,8.0,7.12,4.28,3.44,11.4,14.6,2.16,
sevilla,11.766666666666667,4.533333333333333,1.6666666666666667,550.6666666666666,0.2,61.266666666666666,0.13333333333333333,1.4666666666666666,7.966666666666667,8.2,4.4,4.833333333333333,12.6,12.266666666666667,2.4,
atletico-madrid,11.666666666666666,5.766666666666667,2.8,482.5,0.1,52.1,0.13333333333333333,1.9333333333333333,8.666666666666666,8.4,4.833333333333333,4.566666666666666,13.233333333333333,16.266666666666666,2.8666666666666667,
rayo-vallecano,13.909090909090908,3.6363636363636362,2.727272727272727,353.0,0.18181818181818182,46.72727272727273,0.09090909090909091,2.0,6.818181818181818,8.0,3.8181818181818183,5.0,11.818181818181818,15.090909090909092,2.6363636363636362,
real-betis,13.133333333333333,4.9,1.9,470.3666666666667,0.3,54.0,0.13333333333333333,2.3333333333333335,7.8,8.366666666666667,4.7,5.3,13.066666666666666,15.666666666666666,2.6666666666666665,
osasuna,12.366666666666667,3.8666666666666667,1.7666666666666666,364.3333333333333,0.26666666666666666,45.333333333333336,0.03333333333333333,1.4333333333333333,6.466666666666667,7.0,3.2666666666666666,3.8666666666666667,10.266666666666667,14.166666666666666,2.066666666666667,
athletic-club,12.157894736842104,6.052631578947368,1.894736842105263,381.8421052631579,0.15789473684210525,46.0,0.10526315789473684,1.6842105263157894,8.0,7.842105263157895,3.736842105263158,3.6315789473684212,11.578947368421053,12.473684210526315,1.631578947368421,
fc-barcelona,12.071428571428571,6.714285714285714,1.8571428571428572,618.5714285714286,0.21428571428571427,65.14285714285714,0.21428571428571427,1.9285714285714286,7.642857142857143,7.571428571428571,4.285714285714286,3.857142857142857,11.857142857142858,15.5,2.0,
valencia,12.133333333333333,4.433333333333334,1.8,379.96666666666664,0.23333333333333334,47.36666666666667,0.13333333333333333,1.5,5.933333333333334,7.0,3.4,4.833333333333333,10.533333333333333,12.233333333333333,2.433333333333333,
espanyol,10.666666666666666,6.166666666666667,2.0833333333333335,373.25,0.16666666666666666,46.333333333333336,0.16666666666666666,1.5833333333333333,6.416666666666667,7.833333333333333,4.166666666666667,5.333333333333333,12.0,14.25,2.0833333333333335,
mallorca,13.0,4.0,2.0,333.5833333333333,0.0,44.583333333333336,0.25,1.0833333333333333,5.583333333333333,6.666666666666667,4.333333333333333,5.25,11.0,16.333333333333332,2.8333333333333335,
villarreal,11.5,4.5,2.357142857142857,508.42857142857144,0.0,58.5,0.14285714285714285,2.142857142857143,8.857142857142858,7.428571428571429,4.285714285714286,2.5,11.714285714285714,14.642857142857142,2.7857142857142856,
celta-de-vigo,14.9,3.533333333333333,1.8666666666666667,,0.2,55.733333333333334,0.13333333333333333,1.1,6.3,6.1,3.5,3.2666666666666666,9.6,18.1,2.8,476.56666666666666
elche,12.466666666666667,4.4,1.5666666666666667,385.76666666666665,0.03333333333333333,47.3,0.06666666666666667,1.2,5.166666666666667,5.5,2.8666666666666667,2.966666666666667,8.366666666666667,14.4,2.6333333333333333,
deportivo-alaves,12.633333333333333,4.333333333333333,1.6666666666666667,337.43333333333334,0.13333333333333333,42.56666666666667,0.1,1.1,6.633333333333334,6.233333333333333,3.033333333333333,3.1333333333333333,9.266666666666667,13.0,2.3333333333333335,
cadiz,9.666666666666666,3.966666666666667,1.5,267.3333333333333,0.26666666666666666,34.266666666666666,0.06666666666666667,0.6666666666666666,5.433333333333334,5.7,2.3,2.8333333333333335,8.0,16.433333333333334,2.466666666666667,
granada,12.633333333333333,4.233333333333333,1.9333333333333333,324.53333333333336,0.13333333333333333,41.63333333333333,0.06666666666666667,1.4333333333333333,5.066666666666666,5.9,2.933333333333333,4.133333333333334,8.966666666666667,13.766666666666667,3.1666666666666665,
levante,13.916666666666666,3.7916666666666665,1.6666666666666667,397.125,0.20833333333333334,48.333333333333336,0.041666666666666664,1.25,5.333333333333333,6.083333333333333,2.7916666666666665,3.4166666666666665,8.875,14.416666666666666,2.2916666666666665,
getafe,15.1,3.933333333333333,1.7333333333333334,310.3666666666667,0.13333333333333333,41.93333333333333,0.16666666666666666,1.7666666666666666,5.766666666666667,7.4,2.6,4.533333333333333,10.0,16.266666666666666,3.033333333333333,
